,osmid,geometry,fclass,name
1193,354235938,POINT (-87.6803333 41.9525263),place_of_worship,Joyce United Methodist Church
1194,354235941,POINT (-87.6672736 41.7933666),place_of_worship,Julia Gay Memorial United Methodist Church
1195,354235957,POINT (-87.6831069 41.7692001),school,Nationwide Trucking School
1196,354235976,POINT (-87.7956852 41.9585268),school,New Horizon Center for the Developmentally Disabled
1197,354235979,POINT (-87.6442159 41.7414229),place_of_worship,New Faith Missionary Baptist Church
1198,354235984,POINT (-87.666162 41.7753113),place_of_worship,New Hope Congregational Church of God and Christ
1199,354235989,POINT (-87.6542168 41.7619781),place_of_worship,New Hope Spiritual Church
1200,354235994,POINT (-87.6249332 41.88138),school,National College of Education Urban Campus
1201,354236006,POINT (-87.6208808 41.6986455),place_of_worship,New Covenant Church of God in Christ
1202,354236016,POINT (-87.7233894 41.8916989),place_of_worship,New Cedar Grove Missionary Baptist Church
1203,354236019,POINT (-87.7445008 41.8753099),place_of_worship,New Home Baptist Church
1204,354236024,POINT (-87.6617172 41.7689225),place_of_worship,New Birth Church of God in Christ
1205,354236029,POINT (-87.7550571 41.8883652),place_of_worship,New Galilee Missionary Baptist Church
1206,354236038,POINT (-87.7058879 41.8597547),place_of_worship,New Bethel Temple United Methodist Church
1207,354236054,POINT (-87.6519946 41.768367),place_of_worship,New Bethlehem Missionary Baptist Church
1208,354236057,POINT (-87.6542159 41.7239228),place_of_worship,New Strength Corporation
1209,354236063,POINT (-87.7308886 41.851699),place_of_worship,New Testament Missionary Baptist Church
1210,354236068,POINT (-87.6261611 41.7947559),place_of_worship,New Philadelphia Missionary Baptist Church
1211,354236072,POINT (-87.7622791 41.8730876),place_of_worship,New Saint Matthews Missionary Baptist Church
1212,354236076,POINT (-87.6050476 41.73059),place_of_worship,New Mount Zion Missionary Baptist Church
1213,354236081,POINT (-87.7453342 41.8733654),place_of_worship,New Precious Grove Missionary Baptist Church
1214,354236086,POINT (-87.742834 41.8705877),place_of_worship,New Mission Church of God in Christ
1215,354236099,POINT (-87.7633911 41.9019762),place_of_worship,New Miracle Temple Church of God in Christ
1216,354236102,POINT (-87.6950548 41.8808657),place_of_worship,New Life Missionary Baptist Church
1217,354236104,POINT (-87.6617207 41.8953104),place_of_worship,New Macedonia Baptist Church
1218,354236107,POINT (-87.6967217 41.885588),place_of_worship,New Life Baptist Church
1219,354236111,POINT (-87.7267226 41.8816989),place_of_worship,New Jerusalem the Lords House of Prayer
1220,354236194,POINT (-87.66394 41.7869778),place_of_worship,New Way Mission Church
1221,354236205,POINT (-87.7639473 41.9241984),school,Listening Skills Training Center
1222,354236210,POINT (-87.6357696 41.9254103),park,Linne Monument
1223,354236224,POINT (-87.6608879 41.9186435),school,Lincoln Park Rehabilitation Center
1224,354236229,POINT (-87.6831075 41.7914221),school,Lithuanian Institute of Education
1225,354236233,POINT (-87.6542169 41.7661448),place_of_worship,Little Friendly Spiritual Church
1226,354236242,POINT (-87.6761644 41.8508661),place_of_worship,Lincoln United Methodist Church
1227,354236256,POINT (-87.6441277 41.9256266),place_of_worship,Lincoln Park Presbyterian Church
1228,354236289,POINT (-87.6631051 41.7244782),school,Lolly Pop Nursery School and Kindergarten
1229,354236306,POINT (-87.6858858 41.8086441),school,Little Peoples Nursery School
1230,354236320,POINT (-87.7089456 41.932532),place_of_worship,Local Evangelico Avondale
1231,354236330,POINT (-87.7147769 41.8539214),place_of_worship,Livestone Missionary Baptist Church
1232,354236338,POINT (-87.7820041 41.946698),place_of_worship,Messiah Lutheran Church Fellowship Hall
1233,354236351,POINT (-87.6811654 41.8828103),place_of_worship,Metropolitan Missionary Baptist Church
1234,354236354,POINT (-87.5889362 41.744479),place_of_worship,Messiah and Saint Bartholomew Episcopal Church
1235,354236359,POINT (-87.7678324 41.7800324),place_of_worship,Messiah Lutheran Church
1236,354236377,POINT (-87.6822768 41.8928103),place_of_worship,Mision Bautista Northwest
1237,354236382,POINT (-87.6717178 41.7778112),place_of_worship,Messiah Lutheran Church
1238,354236385,POINT (-87.7820041 41.946698),place_of_worship,Messiah Lutheran Church
1239,354236390,POINT (-87.6831106 41.9050324),place_of_worship,Miracle Healing Temple
1240,354236399,POINT (-87.7708907 41.8803096),school,Miriam Daniels School
1241,354236403,POINT (-87.5833806 41.7511457),place_of_worship,Miracle Temple Church
1242,354236456,POINT (-87.7308892 41.8747544),school,Melody Elementary School
1243,354236460,POINT (-87.6175334 41.8200115),place_of_worship,Metropolitan Community Church
1244,354236468,POINT (-87.5847693 41.7389235),school,Midway Driving School
1245,354236472,POINT (-87.727276 41.8019771),place_of_worship,Midway Church of God
1246,354236489,POINT (-87.6183802 41.6750345),place_of_worship,Jesus the House of Prayer of the Lord Jesus Christ
1247,354236497,POINT (-87.6280333 41.8779767),school,John Marshall Law School
1248,354236504,POINT (-87.706721 41.8483659),place_of_worship,John Huss United Methodist Church
1249,354236522,POINT (-87.6961631 41.7786442),school,Merry Go Round Nursery School
1250,354236525,POINT (-87.713342 41.7119383),school,Mercy Hall
1251,354236540,POINT (-87.6550489 41.7103118),place_of_worship,Jehovahs Witnesses Fernwood Unit
1252,354236551,POINT (-87.6711623 41.7808667),place_of_worship,Jehovahs Witnesses Ogden Park Unit
1253,354236554,POINT (-87.8070065 42.0005863),place_of_worship,Jehovahs Witnesses Norwood Park Unit
1254,354236558,POINT (-87.7520026 41.9314206),place_of_worship,Jehovahs Witnesses Northwest Unit
1255,354236562,POINT (-87.7311667 41.8658656),place_of_worship,Jehovahs Witnesses Lawndale Unit
1256,354236569,POINT (-87.7625578 41.902254),place_of_worship,Jehovahs Witnesses - West Unit
1257,354236572,POINT (-87.66005 41.7505893),place_of_worship,Jehovahs Witnesses South Unit
1258,354236576,POINT (-87.6211584 41.6878122),place_of_worship,Jehovahs Witnesses Roseland Unit
1259,354236591,POINT (-87.6561638 41.8569773),place_of_worship,Assembly of God Church
1260,354236624,POINT (-87.6153262 41.7503121),place_of_worship,Jehovahs Witnesses Avalon Park Unit
1261,354236627,POINT (-87.6219921 41.7069787),place_of_worship,Jehovahs Witnesses Beverly Unit
1262,354236631,POINT (-87.6633863 41.8594773),place_of_worship,Jehovahs Witnesses Central Spanish Congregation
1263,354236635,POINT (-87.7269991 41.8364214),place_of_worship,Jehovahs Witnesses Central Unit
1264,354236646,POINT (-87.5769918 41.7653123),park,Jeffrey - Cyril Historic District
1265,354236670,POINT (-87.5675471 41.7653124),place_of_worship,Ivy Pentecostal Church of God in Christ
1266,354236688,POINT (-87.7194994 41.8569768),place_of_worship,Israel of Gods Church
1267,354236700,POINT (-87.6431041 41.7111452),place_of_worship,Jamaat Al Muslimin
1268,354236706,POINT (-87.6169944 41.8086448),school,James W Shelton Senior School
1269,354236716,POINT (-87.6631065 41.7797557),place_of_worship,Jackson Tabernacle Number One Church of God in Christ
1270,354236774,POINT (-87.691538 42.0011723),place_of_worship,Korean Central Covenant Church
1271,354236781,POINT (-87.7320024 41.9500318),place_of_worship,Irving Park United Methodist Church
1272,354236852,POINT (-87.6758873 41.960307),place_of_worship,Korean Presbyterian Church of Chicago
1273,354236855,POINT (-87.7009815 41.9737858),place_of_worship,Korean Sae-Ihl Church of Jehovah
1274,354236860,POINT (-87.714225 41.984476),place_of_worship,Korean Evangelical Covenant Church of Chicago
1275,354236882,POINT (-87.7422786 41.8803099),place_of_worship,Knee Way Pentecostal Church of God in Christ
1276,354236960,POINT (-87.6700508 41.9525263),place_of_worship,Cuyler Covenant Church
1277,354236983,POINT (-87.619493 41.7508675),school,Crickets Child and Infant Daycare Center
1278,354236987,POINT (-87.7128324 41.8525325),school,Crown Community Academy
1279,354236997,POINT (-87.6167151 41.7469787),place_of_worship,Crerar Memorial Presbyterian Church
1280,354237004,POINT (-87.7261662 41.8514213),place_of_worship,Crawford Congregation of Jehovahs Witness
1281,354237026,POINT (-87.6720004 41.9580876),school,Courtenay Language Arts Center
1282,354237044,POINT (-87.7208882 41.8511435),place_of_worship,Coston Chapel African Methodist Episcopal Church
1283,354237069,POINT (-87.6236611 41.798367),place_of_worship,Cosmopolitan Peoples Community Church
1284,354237105,POINT (-87.6711648 41.8722549),school,Cook County Graduate School of Medicine
1285,354237114,POINT (-87.6761667 41.9361433),place_of_worship,Community Full Gospel Church
1286,354237119,POINT (-87.6794922 41.9519709),place_of_worship,Concordia Lutheran Church
1287,354237127,POINT (-87.6697732 41.7736446),place_of_worship,Community Vinegard Missionary Baptist Church
1288,354237147,POINT (-87.6119916 41.6997566),place_of_worship,Community Bible Teaching Pentecostal Church
1289,354237549,POINT (-87.7822812 41.9233648),place_of_worship,Christian Congregation Church
1290,354237556,POINT (-87.786171 41.9486424),place_of_worship,Christadelphian Church
1291,354237563,POINT (-87.7431125 41.8941987),place_of_worship,Christian Faith Missionary Baptist Church
1292,354237569,POINT (-87.66005 41.7503115),place_of_worship,Christian Doctrine Baptist Church
1293,354237575,POINT (-87.7858924 41.9214204),place_of_worship,Church of God
1294,354237588,POINT (-87.6331034 41.6919787),place_of_worship,Church of God in Christ State Temple
1295,354237593,POINT (-87.6692213 41.9078102),place_of_worship,Church of God of the Seventh Day
1296,354237606,POINT (-87.7447788 41.8819765),place_of_worship,Christian Service Center
1297,354237613,POINT (-87.6378261 41.7086453),place_of_worship,Church of Christ
1298,354237625,POINT (-87.6239373 41.737812),place_of_worship,Christ Universal Temple
1299,354237632,POINT (-87.7664465 41.8916985),place_of_worship,Christ Unity Church
1300,354237683,POINT (-87.6528332 41.9530816),place_of_worship,Christian Fellowship United Methodist Church
