,osmid,geometry,fclass,name
12358,1587448239,POINT (-73.9530856 40.6736383),bicycle_parking,
12359,1587821077,POINT (-73.957535 40.671677),bicycle_parking,
12360,1587823055,POINT (-73.95744 40.671978),bicycle_parking,
12361,1587826043,POINT (-73.9573304 40.6721314),bicycle_parking,
12362,1587828754,POINT (-73.957251 40.6722751),bicycle_parking,
12363,1587833726,POINT (-73.95696 40.673164),bicycle_parking,
12364,1587835073,POINT (-73.95703 40.673),bicycle_parking,
12365,1587839650,POINT (-73.95705 40.673485),bicycle_parking,
12366,1587841705,POINT (-73.9566783 40.6738375),bicycle_parking,
12367,1587843681,POINT (-73.956614 40.6740015),bicycle_parking,
12368,1587940523,POINT (-73.96388 40.679153),bicycle_parking,
12369,1587946177,POINT (-73.9638 40.678894),bicycle_parking,
12370,1587955351,POINT (-73.96372 40.67827),bicycle_parking,
12371,1587961504,POINT (-73.96397 40.67826),bicycle_parking,
12372,1587966040,POINT (-73.96345 40.67708),bicycle_parking,
12373,1587968013,POINT (-73.963455 40.677006),bicycle_parking,
12374,1587971729,POINT (-73.96323 40.67661),bicycle_parking,
12375,1587978226,POINT (-73.9563806 40.6753656),bicycle_parking,
12376,1587996206,POINT (-73.95333 40.675255),bicycle_parking,
12377,1587997346,POINT (-73.95261 40.675148),bicycle_parking,
12378,1588000994,POINT (-73.953926 40.673462),bicycle_parking,
12379,1588003161,POINT (-73.95396 40.673275),bicycle_parking,
12380,1588004476,POINT (-73.952896 40.6725),bicycle_parking,
12381,1588004880,POINT (-73.95272 40.672585),bicycle_parking,
12382,1588014618,POINT (-73.952965 40.671234),bicycle_parking,
12383,1588017974,POINT (-73.95303 40.67107),bicycle_parking,
12384,1588020103,POINT (-73.95346 40.670315),bicycle_parking,
12385,1588021773,POINT (-73.95378 40.670395),bicycle_parking,
12386,1588031535,POINT (-73.95782 40.671528),bicycle_parking,
12387,1588031551,POINT (-73.95782 40.671528),bicycle_parking,
12388,1588327484,POINT (-73.96366 40.676723),bicycle_parking,
12389,1588327784,POINT (-73.96369 40.676846),bicycle_parking,
12390,1588328033,POINT (-73.96372 40.677055),bicycle_parking,
12391,1588329417,POINT (-73.96378 40.67704),pub,Minor Arcana
12392,1588331482,POINT (-73.96375 40.6773),bicycle_parking,
12393,1588333468,POINT (-73.963875 40.67749),bicycle_parking,
12394,1588337194,POINT (-73.96394 40.678207),bicycle_parking,
12395,1588466562,POINT (-73.95293 40.67618),bicycle_parking,
12396,1588536973,POINT (-73.95365 40.675373),bicycle_parking,
12397,1588543987,POINT (-73.95291 40.675255),bicycle_parking,
12398,1590166989,POINT (-74.0259665 40.6292051),dentist,"(kids,adults)"
12399,1590166991,POINT (-74.0092396 40.6556689),supermarket,Costco
12400,1593696153,POINT (-73.95408 40.673775),bicycle_parking,
12401,1594668230,POINT (-73.96287 40.672424),bicycle_parking,
12402,1594679763,POINT (-73.96283 40.672234),bicycle_parking,
12403,1594683140,POINT (-73.96253 40.672688),bicycle_parking,
12404,1594684307,POINT (-73.96303 40.67308),bicycle_parking,
12405,1594685226,POINT (-73.96265 40.673138),bicycle_parking,
12406,1594686443,POINT (-73.96308 40.673477),bicycle_parking,
12407,1594687358,POINT (-73.96309 40.67344),bicycle_parking,
12408,1594688892,POINT (-73.96272 40.673447),bicycle_parking,
12409,1594691078,POINT (-73.962875 40.674572),bicycle_parking,
12410,1594973359,POINT (-73.95426 40.672577),bicycle_parking,
12411,1594976404,POINT (-73.954124 40.67281),bicycle_parking,
12412,1596317515,POINT (-73.9577 40.671696),bicycle_parking,
12413,1596349545,POINT (-73.957634 40.671886),bicycle_parking,
12414,1596481355,POINT (-73.95939 40.67736),bicycle_parking,
12415,1596486755,POINT (-73.95867 40.67731),bicycle_parking,
12416,1596491313,POINT (-73.958885 40.677612),bicycle_parking,
12417,1596622584,POINT (-73.9511868 40.7238006),restaurant,Nights and Weekends
12418,1596623714,POINT (-73.948982 40.7244918),restaurant,Amber
12419,1596628497,POINT (-73.9568355 40.7188243),clothes,Jumelle
12420,1596689071,POINT (-73.9776866 40.731978),fountain,
