,osmid,geometry,fclass,name
2843,701594825,POINT (-77.0520003 38.9249243),convenience,Manhattan Market
2844,701595054,POINT (-77.0519681 38.9248492),florist,Allan Woods Flowers
2845,701596309,POINT (-77.0519252 38.9247699),clothes,Carbon
2846,701600545,POINT (-77.0518448 38.9246614),dry_cleaning,Custom Cleaners
2847,701600804,POINT (-77.0517697 38.9245362),cafe,Cafe International
2848,701601037,POINT (-77.0517267 38.9244694),bank,Bank of America
2849,701601515,POINT (-77.0522632 38.9242232),fast_food,McDonald's
2850,701601677,POINT (-77.0522256 38.9241523),pharmacy,CVS
2851,701602186,POINT (-77.0521291 38.9239937),dry_cleaning,Debonair Cleaners
2852,701602525,POINT (-77.0516838 38.9243901),antiques,Bombe Chest
2853,701603411,POINT (-77.0515336 38.9243067),sports_centre,Woodley Park Yoga
2854,701603746,POINT (-77.0516087 38.9242691),gift,Souvenirs
2855,701603920,POINT (-77.0515819 38.9242232),restaurant,Little India
2856,701604246,POINT (-77.0515444 38.9241606),restaurant,Taste of India
2857,701605499,POINT (-77.0515122 38.924098),restaurant,Woodley Cafe
2858,701607125,POINT (-77.0514156 38.9239645),restaurant,Tono Sushi
2859,701610618,POINT (-77.0520057 38.9237808),gift,India Arts & Crafts
2860,701610656,POINT (-77.0520218 38.9238184),hairdresser,Salon Roi
2861,701610720,POINT (-77.0520486 38.9238685),fast_food,Baskin Robbins
2862,701624190,POINT (-77.0715379 38.9199075),pharmacy,CVS
2863,701650068,POINT (-77.0521827 38.9237182),fast_food,Eddie's Cafe
2864,704978275,POINT (-77.0248464 38.9167537),office,Affinity Lab
2865,704978276,POINT (-77.0261698 38.9168527),pharmacy,CVS
2866,705243035,POINT (-77.0644961 38.9099031),cafe,Puro Cafe
2867,705243485,POINT (-77.064513 38.909999),confectionery,Leonidas
2868,705244420,POINT (-77.064572 38.910054),clothes,Piccolo Piggies
2869,705253485,POINT (-77.0649902 38.910992),electronics,Computer Plus
2870,705254044,POINT (-77.0650446 38.9111034),pet,The Dog Shop
2871,705254159,POINT (-77.065123 38.9112171),hairdresser,IPSA for hair
2872,705259428,POINT (-77.0652768 38.9114478),fast_food,Manny & Olga's Pizza
2873,705729425,POINT (-77.0662668 38.9047334),furniture,Design Within Reach
2874,705733089,POINT (-77.0408827 38.9070189),parking,
2875,706802506,POINT (-77.0643901 38.905299),tobacco,Havana Max
2876,706802507,POINT (-77.0643029 38.905299),fast_food,Tackle Box
2877,706802508,POINT (-77.0653813 38.9052793),clothes,Annie Creamcheese
2878,706802510,POINT (-77.0640709 38.9053042),shoes,Aldo
2879,706802511,POINT (-77.0644558 38.9052969),shoes,Shoe Gallery
2880,709002542,POINT (-77.056743 38.9054103),hairdresser,Tara Salon & Spa
2881,709003331,POINT (-77.0648415 38.9049605),clothes,Intermix
2882,709003407,POINT (-77.0646283 38.9049615),clothes,Sisley
2883,709004075,POINT (-77.0485113 38.90545),pharmacy,Walgreens
2884,709004163,POINT (-77.04832 38.905452),cafe,Starbucks
2885,710676750,POINT (-77.044613 38.912307),fast_food,Five Guys
2886,710676846,POINT (-77.044537 38.912161),hairdresser,Hair Cuttery
2887,710723378,POINT (-77.044484 38.911982),cafe,Potbelly
2888,710724028,POINT (-77.04438 38.911869),fast_food,Chipotle
2889,710773314,POINT (-77.045718 38.912921),hairdresser,Mimosa Salon
2890,710774154,POINT (-77.04527 38.913439),fast_food,Du Froyo
2891,712741866,POINT (-77.0361648 38.9088384),embassy,Embassy of the Republic of Kazakhstan
2892,712742111,POINT (-77.0361265 38.9081519),pub,Bar Rouge
2893,712756546,POINT (-77.0442571 38.9105261),fast_food,Sweetgreen
2894,713431748,POINT (-77.064289 38.9049667),clothes,J. Crew
2895,713432869,POINT (-77.0639161 38.904998),confectionery,Godiva
2896,713435010,POINT (-77.0640025 38.9053053),clothes,Club Monaco
