osmid,geometry,created_by,man_made,name,leisure,amenity,addr:street,addr:housenumber
357558044,POINT (-73.9554159 40.7156581),,,Harry Van Arsdale High School,,school,,
357558203,POINT (-73.8858149 40.7451204),,,Elmhurst Hospital Center,,hospital,,
357558505,POINT (-73.9559714 40.6495482),,,Erasmus Hall High School,,school,,
357558852,POINT (-73.8968031 40.6976029),,,Evergreen Park,park,,,
357558856,POINT (-73.9101364 40.8817663),,,Ewen Park,park,,,
357558861,POINT (-73.9570826 40.7645459),,,Ewing Memorial Hospital,,hospital,,
357559093,POINT (-74.1251426 40.6109374),,,Fairview Cemetery,,grave_yard,,
357559324,POINT (-74.1602997 40.6370441),,,Fellowship Baptist Church,,place_of_worship,,
357559448,POINT (-73.8334678 40.8128787),,,Ferry Point Park,park,,,
357559473,POINT (-73.9069933 40.8890311),,,Fieldston Upper School,,school,,
357560005,POINT (-73.8840249 40.5845494),,,Floyd Bennett Field,park,,,
357560012,POINT (-73.7990225 40.7523243),,,Flushing Cemetery,,grave_yard,,
357560015,POINT (-73.826801 40.764824),,,Flushing High School,,school,,
357560019,POINT (-73.8164491 40.7555476),,,Flushing Hospital Medical Center,,hospital,,
357560022,POINT (-73.80028 40.77861),,,Public School 184,,school,,
357560025,POINT (-73.8406904 40.7401022),,,Flushing Meadows - Corona Park,park,,,
357560064,POINT (-74.0365291 40.6134377),,,Fontbonne Hall Academy,,school,,
357560081,POINT (-73.8817263 40.8589979),,,Fordham Hospital (historical),,hospital,,
357560085,POINT (-73.8859691 40.8612111),,,Fordham University,,school,,
357560089,POINT (-73.9845834 40.7712124),,,,,university,,
357560145,POINT (-73.8448572 40.7298246),,,Forest Hills High School,,school,,
357560168,POINT (-73.8504129 40.7034362),,,Forest Park,park,,,
357560254,POINT (-74.0390292 40.6270485),,,Fort Hamilton High School,,school,,
357560274,POINT (-73.8943025 40.882044),,,Fort Independence Park,park,,,
357560332,POINT (-74.1198647 40.6387146),,,Fountain Cemetery,,grave_yard,,
357560456,POINT (-73.7943002 40.7406579),,,Francis Lewis High School,,school,,
357560459,POINT (-73.8248565 40.7964901),,,Francis Lewis Park,park,,,
357560484,POINT (-73.9820832 40.6212155),,,Franklin Delano Roosevelt High School,,school,,
357560491,POINT (-73.9329151 40.7942678),,,Franklin High School,,school,,
357560494,POINT (-73.8690245 40.6931586),,,Franklin K Lane High School,,school,,
357560729,POINT (-73.8954142 40.7248246),,,Frontera Park,park,,,
357560780,POINT (-73.9329152 40.6795476),,,Fulton Park,park,,,
357561095,POINT (-74.00472 40.74528),,,General Theological Seminary,,school,,
