valid_time_gmt,gust
2016-10-09 11:30:00,54.0
2016-10-09 11:38:00,67.0
2016-10-09 12:00:00,59.0
2016-10-09 12:30:00,63.0
2016-10-09 13:07:00,66.0
2016-10-09 13:30:00,60.0
2016-10-09 14:00:00,60.0
2016-10-09 14:30:00,61.0
2016-10-09 15:00:00,55.0
2016-10-09 15:30:00,51.0
2016-10-09 16:00:00,59.0
2016-10-09 17:00:00,51.0
2016-10-14 20:00:00,22.0
2016-10-15 15:00:00,51.0
2016-10-16 00:15:00,58.0
2016-10-16 00:30:00,51.0
2016-10-16 01:00:00,55.0
2016-10-16 01:30:00,56.0
2016-10-20 23:00:00,53.0
2016-10-21 00:48:00,59.0
2016-10-21 01:00:00,56.0
2016-10-21 01:30:00,62.0
2016-10-21 02:00:00,58.0
2016-10-21 02:30:00,59.0
2016-10-21 03:00:00,60.0
2016-10-30 20:16:00,54.0
2016-11-21 17:48:00,52.0
2016-12-02 13:00:00,22.0
2016-12-23 12:30:00,21.0
2016-12-28 13:01:00,51.0
2016-12-28 16:32:00,53.0
2016-12-30 12:30:00,21.0
2017-02-09 07:00:00,53.0
2017-02-09 08:00:00,51.0
2017-02-09 09:00:00,51.0
2017-02-09 09:32:00,54.0
2017-03-09 14:30:00,14.0
2017-03-12 18:30:00,18.0
2017-03-27 11:00:00,51.0
2017-07-02 00:00:00,23.0
2017-07-12 22:30:00,21.0
2017-07-13 23:41:00,52.0
2017-07-28 14:30:00,23.0
2017-07-28 19:30:00,21.0
2017-07-29 04:00:00,52.0
2017-07-29 04:30:00,55.0
2017-07-29 05:00:00,56.0
2017-07-29 05:30:00,54.0
2017-07-29 06:00:00,56.0
2017-07-29 06:32:00,54.0
2017-07-29 07:00:00,58.0
2017-07-29 07:30:00,60.0
2017-07-29 08:00:00,56.0
2017-07-29 08:30:00,61.0
2017-07-29 09:00:00,64.0
2017-07-29 09:30:00,62.0
2017-07-29 10:00:00,63.0
2017-07-29 10:30:00,64.0
2017-07-29 11:00:00,64.0
2017-07-29 11:30:00,59.0
2017-07-29 12:00:00,58.0
2017-07-29 12:30:00,55.0
2017-07-29 13:00:00,53.0
2017-07-29 13:33:00,52.0
2017-07-29 14:00:00,54.0
2017-07-29 16:30:00,51.0
2017-08-09 22:00:00,54.0
2017-08-09 23:00:00,51.0
2017-08-09 23:30:00,54.0
2017-08-10 00:00:00,52.0
2017-08-10 01:00:00,61.0
2017-08-10 01:30:00,59.0
2017-08-10 02:30:00,52.0
2017-08-10 09:00:00,51.0
2017-08-10 13:30:00,51.0
2017-08-17 08:00:00,23.0
2017-09-17 21:45:00,52.0
2017-09-17 22:10:00,52.0
2017-09-18 04:01:00,53.0
2017-11-02 12:30:00,20.0
2017-11-23 11:30:00,17.0
2017-11-29 23:30:00,21.0
2017-12-15 13:30:00,18.0
2017-12-19 17:25:00,22.0
2017-12-19 19:50:00,58.0
2018-04-14 11:00:00,51.0
2018-04-14 11:17:00,53.0
2018-04-14 11:29:00,52.0
2018-04-14 11:30:00,52.0
2018-04-14 11:40:00,51.0
2018-06-14 05:30:00,22.0
2018-07-04 23:30:00,51.0
2018-07-05 15:30:00,51.0
2018-07-17 14:00:00,56.0
2018-07-17 15:28:00,52.0
2018-07-17 15:30:00,52.0
2018-07-17 15:32:00,52.0
2018-07-23 05:39:00,60.0
2018-07-23 06:00:00,51.0
2018-07-23 07:30:00,51.0
2018-07-23 14:00:00,51.0
2018-07-23 14:30:00,51.0
2018-07-23 15:00:00,51.0
2018-07-23 16:30:00,51.0
2018-07-23 17:00:00,60.0
2018-08-02 21:46:00,55.0
2018-08-02 22:30:00,53.0
2018-08-02 23:00:00,51.0
2018-08-10 04:30:00,54.0
2018-08-17 20:30:00,23.0
2018-09-15 12:43:00,56.0
2018-09-23 06:46:00,22.0
2018-11-02 17:25:00,51.0
2018-12-04 13:30:00,22.0
2019-01-07 13:30:00,20.0
2019-01-17 08:30:00,21.0
2019-02-20 13:00:00,23.0
2019-02-22 11:30:00,23.0
2019-03-03 19:53:00,20.0
2019-04-17 05:30:00,51.0
2019-06-29 13:00:00,54.0
2019-07-21 01:11:00,51.0
2019-08-16 01:00:00,51.0
2019-08-16 02:00:00,51.0
2019-09-20 05:30:00,55.0
2019-09-20 06:03:00,53.0
2019-09-20 06:30:00,56.0
2019-09-20 07:01:00,55.0
2019-09-20 08:00:00,51.0
2019-10-26 10:24:00,51.0
2019-10-26 10:30:00,51.0
2019-10-26 12:48:00,62.0
2019-10-26 12:51:00,64.0
2019-10-26 13:00:00,51.0
2019-11-14 14:30:00,23.0
2019-11-18 16:30:00,23.0
