osmid,source,geometry,created_by,highway,amenity,education,ele,gnis:county_id,gnis:created
354050354,,POINT (-87.6653289 41.7850334),,,school,,182,031,01/15/1980
354050372,,POINT (-87.7625573 41.8850319),,,school,,187,031,09/30/1999
354050387,,POINT (-87.7381124 41.898522),,,,,185,031,01/15/1980
354050411,,POINT (-87.6347714 41.7530896),,,,,181,031,01/15/1980
354050617,,POINT (-87.6585523 41.7053541),,,school,,189,031,09/30/1999
354050743,,POINT (-87.7395022 41.9328096),,,school,,186,031,09/30/1999
354050765,,POINT (-87.6714394 41.7539225),,,school,,184,031,09/30/1999
354050810,,POINT (-87.6373708 41.773058),,,school,,183,031,09/30/1999
354050836,,POINT (-87.7022793 41.9583652),,,school,,180,031,09/30/1999
354050868,,POINT (-87.6533837 41.7747558),,,school,,181,031,01/15/1980
354050876,,POINT (-87.7472767 41.8025325),,,school,,182,031,01/15/1980
354050944,,POINT (-87.647963 41.7844714),,,school,,182,031,09/30/1999
354051160,,POINT (-87.7572817 41.9719759),,,school,,185,031,09/30/1999
354051291,,POINT (-87.6864452 41.9491987),,,school,,180,031,09/30/1999
354051319,,POINT (-87.7292243 41.9400318),,,hospital,,184,031,09/30/1999
354051378,,POINT (-87.7333916 41.9586428),,,school,,184,031,09/30/1999
354051436,,POINT (-87.7056109 41.8850323),,,school,,183,031,09/30/1999
354051494,,POINT (-87.6167143 41.7103122),,,school,,182,031,09/30/1999
354051500,,POINT (-87.6906115 41.9280877),,,school,,181,031,01/15/1980
354051528,,POINT (-87.7318131 41.9861651),,,grave_yard,,185,031,01/15/1980
354051608,,POINT (-87.7122774 41.875588),,,hospital,,182,031,01/15/1980
354051618,,POINT (-87.7845032 41.9111426),,,school,,198,031,01/15/1980
354052261,,POINT (-87.6722762 41.8836437),,,school,,182,031,01/15/1980
354052389,,POINT (-87.6922802 42.0053093),,,school,,182,031,01/15/1980
354094979,,POINT (-87.7139433 41.8430881),,,school,,182,031,01/15/1980
354095131,,POINT (-87.6647778 41.9508654),,,school,,183,031,01/15/1980
354095622,,POINT (-87.5572687 41.7547571),,,school,,178,031,09/30/1999
354095650,,POINT (-87.6789427 41.8655883),,,school,,181,031,01/15/1980
354095694,,POINT (-87.6531057 41.7653115),,,school,,182,031,09/30/1999
354095787,,POINT (-87.6706047 41.6925339),,,,,191,031,01/15/1980
354096108,,POINT (-87.5622677 41.6997571),,,school,,179,031,09/30/1999
354096161,,POINT (-87.7992271 41.9497533),,,school,,196,031,01/15/1980
354096601,,POINT (-87.5756029 41.7614235),,,school,,179,031,09/30/1999
354096613,,POINT (-87.7283888 41.8630879),,,school,,184,031,01/15/1980
354096886,,POINT (-87.6336588 41.6864232),,,school,,186,031,09/30/1999
